label,text,
Agree,"I agree that the SOGIE Bill should be passed as it aims to protect the rights of the LGBTQ+ community.
",
Agree,"Passing the SOGIE Bill is necessary to prevent discrimination and promote equality in the Philippines, so I support it.
",
Agree,"Yes, I agree that the SOGIE Bill should be made into law as it is a step towards recognizing the diversity of gender and sexual orientation in society.
",
Disagree,"I disagree with the passage of the SOGIE Bill as it goes against traditional and conservative values.
",
Disagree,"The SOGIE Bill could potentially threaten the freedom of speech and religion, so I am against it.
",
Disagree,"No, I don't think that the SOGIE Bill should be passed as it could create more confusion and division in society rather than promote unity.



",
Agree,"I strongly believe that passing the SOGIE Bill into law is necessary to protect the rights and dignity of the LGBTQ+ community in the Philippines.
",
Agree,"The SOGIE Bill is a step towards creating a more inclusive and equal society, and it is long overdue.
",
Agree,"As a supporter of LGBTQ+ rights, I fully agree that the SOGIE Bill should be passed into law to address discrimination and promote tolerance.
",
Disagree,"I disagree that the SOGIE Bill should be passed into law because it could lead to the normalization of behaviors that go against traditional Filipino values and beliefs.
",
Disagree,"The SOGIE Bill is unnecessary as existing laws already protect the rights of all Filipinos regardless of their sexual orientation and gender identity.
",
Disagree,"The SOGIE Bill is a violation of the freedom of speech and religion, and it could lead to the suppression of opinions that go against the LGBTQ+ movement.



",
Agree,"I agree that the SOGIE Bill should be passed into law as it promotes equality and protects the human rights of the LGBTQ+ community.
",
Agree,"Passing the SOGIE Bill into law is a step towards creating a more inclusive and accepting society in the Philippines.
",
Agree,"Agreeing to the SOGIE Bill would mean acknowledging that all individuals have the right to be free from discrimination regardless of their sexual orientation or gender identity.
",
Disagree,"I disagree that the SOGIE Bill should be passed into law as it could potentially threaten the rights of those who do not agree with the LGBTQ+ community.
",
Disagree,"The SOGIE Bill could be used to silence those who have opposing beliefs, leading to a suppression of free speech.
",
Disagree,"Disagreeing with the SOGIE Bill is not equivalent to promoting discrimination or hatred against the LGBTQ+ community, but rather a matter of respecting differing beliefs and opinions.



",
Agree,The SOGIE Bill is necessary to protect the rights of the LGBTQ+ community and ensure they are not discriminated against,
Disagree,"The SOGIE Bill goes against traditional Filipino values and religious beliefs, and should not be passed into law.",
Agree,"All individuals, regardless of their sexual orientation or gender identity, should have equal protection under the law",
Agree,The passage of the SOGIE Bill is an important step towards promoting diversity and inclusivity in the Philippines,
4/24/2023 11:02:32,Disagree,"I strongly disagree with the SOGIE Bill. It is a threat to our traditional Filipino values and will promote immoral and unnatural behaviors.

"
4/24/2023 19:08:13,Agree,"I believe that everyone should have equal rights and protections under the law, regardless of their sexual orientation or gender identity.
"
4/24/2023 19:08:26,Agree,"Discrimination based on SOGIE is a serious problem in the Philippines and the SOGIE Bill is a necessary step towards protecting vulnerable individuals from harassment, violence, and exclusion.
"
4/24/2023 19:08:36,Agree,"As a society, we should strive to promote diversity and inclusion, and the passage of the SOGIE Bill would be a significant step in achieving these goals.
"
4/24/2023 19:08:50,Disagree,"I believe that the SOGIE Bill infringes on the rights of individuals and institutions who may hold different beliefs or values.
"
4/24/2023 19:09:00,Disagree,"The SOGIE Bill could potentially undermine the traditional family values that are deeply rooted in Filipino culture and society.
"
4/24/2023 19:09:11,Disagree,"I don't believe that the SOGIE Bill is necessary, as existing laws already provide adequate protections against discrimination."
4/24/2023 19:09:40,Agree,"All individuals deserve to be treated with dignity and respect, regardless of their SOGIE. The passage of the SOGIE Bill would be a significant step in achieving this goal.
"
4/24/2023 19:09:55,Agree,"Discrimination based on SOGIE is not only morally wrong, but it also harms individuals and communities. The SOGIE Bill is necessary to ensure that everyone has the opportunity to thrive and live free from discrimination.
"
4/24/2023 19:10:09,Agree,"The passage of the SOGIE Bill would send a powerful message to LGBTQ+ individuals that they are valued members of Philippine society and deserve equal rights and protections.
"
4/24/2023 19:10:17,Disagree,"The SOGIE Bill could potentially create confusion and legal issues, particularly in terms of determining who is protected and who is not.
"
4/24/2023 19:10:26,Disagree,"I believe that SOGIE is a private matter and that individuals should be free to express themselves as they see fit, without the need for government intervention.
"
4/24/2023 19:10:38,Disagree,"The passage of the SOGIE Bill could potentially infringe on the rights of religious institutions and individuals who may hold different beliefs or values.
"
4/24/2023 19:11:55,Agree,"Discrimination based on SOGIE is a serious issue that affects many people in the Philippines. The passage of the SOGIE Bill would send a message that this kind of discrimination is not acceptable.
"
4/24/2023 19:12:04,Agree,"The SOGIE Bill would help to promote equality and fairness in Philippine society, which is essential for building a just and democratic country.
"
4/24/2023 19:12:13,Agree,"The passage of the SOGIE Bill would align with international human rights standards and signal the Philippines' commitment to upholding the rights of all individuals.
"
4/24/2023 19:12:23,Disagree,"The SOGIE Bill could potentially create new forms of discrimination or exacerbate existing tensions between different groups in Philippine society.
"
4/24/2023 19:12:34,Disagree,"I believe that the government should focus on more pressing issues, such as poverty, healthcare, and education, rather than spending time and resources on the SOGIE Bill.
"
4/24/2023 19:12:44,Disagree,The passage of the SOGIE Bill could potentially be seen as a threat to traditional values and beliefs in the Philippines.